project_id,project_title,program,primary_tx,description_excerpt,benefits_excerpt,start_trl_reference_only,end_trl,trl_delta,target_label,split
117130,1030nm CASALS Lidar for Lunar Science,Center Independent Research & Development: GSFC IRAD,TX08 Sensors and Instruments,We propose to investigate lunar-specific improvements to the design of an orbital swath-mapping lidar based on a new lidar system. The novel measurement approach was successfully demonstrated at 1550nm with a lab and rooftop demonstration in 2022. We are looking to design a lunar orbital version with higher-TRL comp...,This project will develop a non-mechanical beam-steering lidar system capable of high-resolution swath-mapping.,2,3,1,Low,valid
146535,1035nm CASALS Lidar for Navigation Velocity and 3-D imaging Measurements,Center Innovation Fund: GSFC CIF,TX05.4.2 Revolutionary PNT Technologies,We propose to enhance an 1035nm CASALS lidar system for both navigation Velocity and 3-D imaging Measurements. A recent RI2 project successfully demonstrated the measurement approach at 1550nm. We will tailor the 1035nm CASALS hardware being developed under the CASALS IIP program and experimentally validate both mea...,"Hazard avoidance and navigation for lunar landing; Satellite service, space debris clean up, and EDL; 3D mapping for asteroid and comet explorations. Efficient and fast 3D imaging of landing site with 2k x 2k pixels/s...",2,3,1,Low,train
157706,1040nm 3-D imaging CASALS Lidar for Landing and Long-Distance Navigation,Center Independent Research & Development: GSFC IRAD,TX05.4.2 Revolutionary PNT Technologies,"The Guidance, Navigation and Control (GN&C) technologies for precise and safe landing are essential for future robotic and human exploration missions. Distinct kinds of lidar are typically needed to support different phases of navigation and landing, from long-range/orbital ranging, to velocity measurements from a n...","Enable a single lidar to perform the 3D imaging and long-distance navigation functions, thereby reducing SWaP and cost. Applications: Hazard avoidance and navigation for lunar landing; Satellite service, space debris ...",3,4,1,Mid,train
13744,10 meter Sub-Orbital Large Balloon Reflector,NASA Innovative Advanced Concepts,TX13.2.1 Mechanical and Structural Integrity Testing,"This is the lead NIAC Phase II proposal for ""10 meter Sub-Orbital Large Balloon Reflector (LBR)"" with Christopher K. Walker as PI. We propose to develop and demonstrate the technology required to realize a suborbital, 10 meter class telescope suitable for operation from radio to THz frequencies. The telescope consis...","By combining successful suborbital balloon and ground-based telescope technologies, the dream of a 10 meter class telescope free of ~99% of the Earth's atmospheric absorption in the far-infrared can be realized. The s...",1,2,1,Low,train
14325,10 meter Sub-Orbital Large Balloon Reflector,NASA Innovative Advanced Concepts,TX05.2.6 Innovative Antennas,"This is the lead NIAC Phase II proposal for ""10 meter Sub-Orbital Large Balloon Reflector (LBR)"" with Christopher K. Walker as PI. We propose to develop and demonstrate the technology required to realize a suborbital, 10 meter class telescope suitable for operation from radio to THz frequencies. The telescope consis...","The realization of a large, space-based 10 meter class telescope for far-infrared/THz studies has long been a goal of NASA. Such a telescope could study the origins of stars, planets, molecular clouds, and galaxies; p...",1,2,1,Low,train
8367,"1.26 Single Frequency Fiber Laser, Phase I",Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"This proposal is for the development of an innovative compact, high power, and extremely reliable 1.26 micron Ho-doped single frequency fiber laser. The proposed single frequency fiber laser consists of Raman pump laser and single frequency 1.26-micron fiber laser, which will be constructed by using Ho3+-doped fluor...","There are several potential non-NASA commercial applications. The 1.26 micron seed laser can be used for commercial coherent LIDAR, remote sensing for environment monitor, and non-linear frequency conversion.",4,5,1,Mid,train
33998,14-Decades Calibration in Airborne Detectors for Environmental Science (14DeCADES),Small Business Innovation Research/Small Business Tech Transfer,TX08.1.1 Detectors and Focal Planes,"The 14-DeCADES SBIR leverages the results of a FY13 spontaneous IRAD to characterize and test (Phase 1) and subsequently design and build (Phase 2) a commercial-off-the-shelf (COTS) multiwaveband sensor for airborne sensing of ocean color in conditions of very low light. The new instrument will pair ruggedized, mini...",This SBIR Phase I and II would result specifically in a cornerstone product for BSI's airborne instrument line. We see this development being used wherever an airborne radiometer has been used in the past and where ex...,3,4,1,Mid,train
92591,14-Decades Calibration in Airborne Detectors for Environmental Science (14DeCADES),Small Business Innovation Research/Small Business Tech Transfer,TX08.3.1 Field and Particle Detectors,The 14-DeCADES SBIR leverages the results of a FY13 spontaneous IRAD and a subsequent successful Phase 1 SBIR which characterized and tested key elements that will lead to a Phase 2 SBIR to design and build a commercial-off-the-shelf (COTS) multiwaveband sensor pair (radiance and irradiance) for airborne and shipboa...,NASA's Earth Science Roadmaps (Section 2.2) provide much insight into a variety of potential NASA applications for the LOLUX radiometers developed in this project. As satellite technology advances and capabilities to ...,4,6,2,Mid,valid
158620,150W / 90K Cryocooler Development,Technology Demonstration Missions,TX14.1.1 In-Space Propellant Storage and Use,"This project will design, build, demonstrate a 150W/ 90 K RTB cryocooler having a specific mass of 0.4 kg/W and a specific power requirement of 8.0 W/W. Project objectives include: 1. Assemble and test the 150W 90K RTB Cryocooler compressors. 2. Complete build of the 150W 90K RTB Cryocooler. 3. Conduct acceptance te...",High Capacity Cryocoolers are deemed to be an enabling technology for the long-duration storage of cryogens. The Reverse Turbo-Brayton (RTB) cycle cryocooler is recognized as having significant maturity as well as the...,3,6,3,Mid,train
9798,1.55 Micron High Peak Power Fiber Amplifier,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"In this proposal, we propose to demonstrate and build a 1.55 micron single frequency high energy and high peak power fiber amplifier by developing an innovative Er-doped gain fiber with large core diameter and high gain per unit length. 1.55 micron single frequency high energy and high peak power fiber amplifier is ...","NASA's Science Mission Directorate (SMD) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics, and Planetary Science. A major objective of SMD instrument development programs is to implement ...",2,4,2,Mid,train
16741,1.55 Micron High Peak Power Fiber Amplifier,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"In this proposal, we propose to demonstrate and build a 1.55 micron single frequency high energy and high peak power fiber amplifier by developing an innovative Er-doped gain fiber with large core diameter and high gain per unit length. 1.55 micron single frequency high energy and high peak power fiber amplifier is ...","NASA's Science Mission Directorate (SMD) encompasses research in the areas of Astrophysics, Earth Science, Heliophysics, and Planetary Science. A major objective of SMD instrument development programs is to implement ...",3,6,3,Mid,train
9749,1570 nm High Energy Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"This SBIR phase I project proposes a single frequency high energy fiber laser for remote sensing. Current state-of-art technologies can not provide all features of high energy and efficiency, compactness, and narrow spectral width. PolarOnyx proposes, for the first time, a high energy (10 mJ) fiber amplifier to meet...","It will have a great potential to be used as a transmitter for NASA¿s Lidar systems, such as Laser Interferometer Space Antenna (LISA), Doppler Wind Lidar, Lidar for Surface Topography (LIST), Active Sensing of CO2 Em...",4,6,2,Mid,train
93307,1.57 Micron High Pulse Energy Single Frequency Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,We propose to demonstrate and build a 1.572 micron single frequency high pulse energy and high peak power fiber laser by using an innovative Er-doped gain fiber with large core diameter and high gain per unit length. 1.572 micron single frequency high energy and high peak power fiber laser is needed for accurately m...,NASA plans to launch ASCENDS in 2023 in according to the US National Research Councils 2007 Decadal Survey recommendation to accurately measure column CO2 concentrations using the IPDA technique. For ASCENDS mission N...,2,3,1,Low,train
112779,1.57 Micron High Pulse Energy Single Frequency Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,We propose to demonstrate and build a 1.572 micron single frequency high pulse energy and high peak power fiber laser by using an innovative Er-doped gain fiber with large core diameter and high gain per unit length. 1.572 micron single frequency high energy and high peak power fiber laser is needed for accurately m...,NASA plans to launch ASCENDS in 2023 in according to the US National Research Councils 2007 Decadal Survey recommendation to accurately measure column CO2 concentrations using the IPDA technique. For ASCENDS mission N...,2,4,2,Mid,valid
90034,1.5-Micron Amplifier for High-Average Power,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Aqwest proposes to develop a novel, compact and rugged high-peak power erbium (Er) laser amplifier at 1.5 m to for NASA remote sensing trasmitter. The project will take advantage our novel and highly successful edge-pumped disk laser (EPDL) multi-passed amplifier we are developing for the US Army, Navy, and the Depa...",1. Remote sensing 1. Eye-safer laser material processing (supplanting traditional 1-micron lasers) 2. Eye-safer communication 3. Remote sensing,3,4,1,Mid,train
94455,1.65um Pulsed Laser for Space Based Winds,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Fibertek, Inc. will develop a single-frequency, Er:YAG laser transmitter to advance the technological readiness level (TRL) of a key technology component of the 3D wind measurements identified in the recent Earth science decadal survey ""Thriving on Our Changing Planet: A Decadal Strategy for Earth Observation from S...","The key NASA applications include the following, all of which have been identified as mission and technology development areas in the 2018 Earth Science Decadal Survey. 1. Coherent detection 3D wind measurement system...",3,4,1,Mid,test
8884,1 Gb Radiation Hardened Nonvolatile Memory Development,Small Business Innovation Research/Small Business Tech Transfer,TX10.1.4 Hazard Assessment,"The objective of this effort is to identify, characterize and develop advanced semiconductor materials and fabrication process techniques, and design and produce a Gigabit (GB)-scale high density, radiation hardened (RH), SONOS-based nonvolatile memory (NVM) in a standard, high density CMOS technology with feature s...","Using fewer memory devices to achieve greater memory storage capacity reduces overall system size, weight, and power (SWAP) requirements while improving system cost effectiveness. Highly reliable, radiation hardened S...",2,3,1,Low,train
89525,1mN Electrospray Thruster with Safe Passive Propellant Delivery,Small Business Innovation Research/Small Business Tech Transfer,TX01.2.2 Electrostatic Propulsion,"Busek proposes to develop a compact electrospray propulsion system with unprecedented capability. The 1500s Isp while requiring less than 45W of power. Compared with existing state-of-the-art CubeSat thrusters, the system will provide more thrust than available gridded ion engines at lower power and without greatly ...","NASA's 2015 technology roadmap recognizes the importance of electrospray propulsion to primary propulsion, formation flight and attitude control of small (3U-6U) spacecraft. Specific applications include asteroid scou...",3,4,1,Mid,train
106808,1U CubeSat Green Propulsion System with Post-Launch Pressurization,Small Spacecraft Technology,TX01.1.1 Integrated Systems and Ancillary Technologies,Development of a CubeSat level green propellant (alternate to Hydrazine) that uses a bellows tank thermally activated solid gas generator for pressurization.,"Because of its low toxicity and safety concerns, this system will pose minimum hazards to a spacecraft integrator, the primary payload, and the launch vehicle, and will be a better candidate for launch opportunities w...",3,4,1,Mid,train
91635,1U CubeSat Green Propulsion System with Post-Launch Pressurization Testing,Flight Opportunities,TX01.1.1 Integrated Systems and Ancillary Technologies,"The objective of this project is to develop a 1U integrated CubeSat propulsion system utilizing a non-toxic, ""green"" propellant. The system will also feature an innovative post-launch pressurization scheme. With the ability to launch completely unpressurized, the system will pose minimum hazards to the spacecraft in...","The 1U integrated CubeSat propulsion system technology utilizing a non-toxic ""green"" propellant will benefit the commercial space industry and future NASA missions.",3,3,0,Low,train
17839,1U CubeSat Lasercom Terminal for Deep Space Communication,Small Business Innovation Research/Small Business Tech Transfer,TX05.1.1 Detector Development,"In this NASA SBIR-select Phase 1 program Fibertek, Inc., proposes the design, optimization, and analysis of a 1U CubeSat Lasercom Optical Terminal, optimized for deep-space colmmunication links, and targeting the following characteristics – (i) Low Size/Weight/Power (SWaP) 1U Lasercom Terminal for deep-space mission...","(1) 1U CubeSat lasercom optical terminal for deep-space and inter-planetary missions (2) Compact, efficient space lasercom optical terminal for LEO/GEO platforms (3) Optical terminal design can be adapted for active r...",4,5,1,Mid,train
33173,1U CubeSat Lasercom Terminal for Deep Space Communication,Small Business Innovation Research/Small Business Tech Transfer,"TX05.1.4 Pointing, Acquisition, and Tracking Techniques and Technologies","In this NASA SBIR-select Phase 2 program Fibertek will develop, test and validate a high-fidelity 1U CubeSat Lasercom Optical Terminal prototype, optimized for deep-space optical communication, and targeting the following characteristics – (i) Low Size/Weight/Power (SWaP) 1U Lasercom Terminal for deep-space mission ...","(1) 1U CubeSat lasercom optical terminal for deep-space and inter-planetary missions (2) Compact, efficient space lasercom optical terminal for LEO/GEO platforms (3) Optical terminal design can be adapted for active r...",4,5,1,Mid,train
113023,-200 C Rad-Hard Compact Rugged RF Modulator,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","We have proposed to deliver a comprehensive, and conceptually validated feasibility study (in PH 1) for a novel compact ,cold capable (-200 C), scalable, Rad-hard RF Modulator (CCM) operating to 500MHz. CCM is used as a common subsection of cold capable radios both on the transmitter and receiver side, operates in e...","Low power, compact and high radiation tolerance (>2Mrad-si) envisioned for the cold capable modulator intends to be used in wide range of deep space robotics applications including radios (both transmitter and receive...",1,4,3,Mid,train
125383,-200 C Rad-Hard Compact Rugged RF Modulator,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,Design and fabrication of BICMOS 90 nm SiGe 9HP circuit blocks leading to pulse width modulator (PWM) for laser modulation in optical communication and binary phase shift key (BPSK) modulator for rf communication. Both modulators require stable clock for reliable cold capable operation so highly stable reference clo...,Our NASA assigned technical monitor has been very helpful in contributing to the what if thought process about the potential applications. The potential applications of the CCM for NASA include laser modulation for op...,4,6,2,Mid,valid
89982,"200Gb/s WDM Optical Transceiver Chip Modules with RF Transmission, Quadrature Modulation and Fail-Safe Capabilities",Small Business Innovation Research/Small Business Tech Transfer,TX05.1.6 Optimetrics,"There have been significant interests from NASA in integrated optical transceiver chips for space optical communications, in particular space-qualifiable 1550nm laser transmitter and receiver with optoelectronic laser, modulator, and detector, that are capable of data rates from 1Gb/sec to 200Gb/sec. The power effic...","For Non NASA Applications, the main application area is high-gigabit/s laser transmitter and receiver optical-electronic subsystems: space qualifiable 1550 nm laser transmitter and receiver for data rates from 1 gigab...",2,4,2,Mid,train
93308,200W Deep Space CubeSat Composite Beam Roll-Up Solar Array (COBRA),Small Business Innovation Research/Small Business Tech Transfer,TX12.2.1 Lightweight Concepts,"Solar arrays that have very high specific power (W/kg) and compact stowed volume (W/m3), while still providing shielding to the solar cell, are an enabling technology for Deep Space CubeSat missions. Current CubeSat and small satellite solar arrays employ either fixed panels mounted directly to the Satellite side-wa...",CubeSats? fast time to market and modular architectures open up a new paradigm for NASA scientists and mission planners to consider more cost effective ways to perform a greater variety of science or exploration space...,3,6,3,Mid,valid
90043,200W Deep Space CubeSat Composite Beam Roll-Up Solar Array (COBRA),Small Business Innovation Research/Small Business Tech Transfer,TX12.2.1 Lightweight Concepts,"Solar arrays that have very high specific power (W/kg) and compact stowed volume (W/m3), while still providing shielding to the solar cell, are an enabling technology for Deep Space CubeSat missions. Current CubeSat and small satellite solar arrays employ either fixed panels mounted directly to the Satellite side-wa...",CubeSats' fast time to market and modular architectures open up a new paradigm for NASA scientists and mission planners to consider more cost effective ways to perform a greater variety of science or exploration space...,2,3,1,Low,train
90498,20GSps 6-bit Low-Power Rad-Tolerant ADC,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","The proposed project aims to develop a 20GSps 6-bit radiation hardened analog to digital converter (ADC) required for microwave radiometers being developed for space and air borne earth sensing applications. Aiming to improve performance and to reduce the size of the electronics, high resolution, high-sampling rate,...","The low power 20GS/s 6-bit ADC featuring power optimization capability has great potential in current and future NASA missions. Besides targeted application for microwave radiometers, the proposed ADC ASIC is directly...",1,3,2,Low,valid
93309,20GSps 6-bit Low-Power Rad-Tolerant ADC,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","The proposed project aims to develop a 20GSps 6-bit ADC required for microwave radiometers being developed for space and airborne earth sensing applications and radio telescopes. Aiming to improve performance and to reduce the size of the electronics, high resolution, high-sampling rate, power efficiency and low spu...",The low-power radiation hardened 20GSps 6-bit ADC with a novel calibration technique capable of suppressing the peak energy of the spurs has great potential in current and future NASA microwave radiometers. In additio...,2,3,1,Low,valid
112892,20 GSPS ADC For Spectrometer Backends In Microwave Radiometers,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","NASA Science Mission Directorate's (SMD) programs demand an innovative single-chip 6-bit 20GSPS analog to digital converter (ADC) capable of surviving and maintaining performance in extreme environments for use in next generation low-power, rad-tolerant broad band spectrometer back ends for microwave radiometers. Br...","CubeSats on radiometer microwave sensors for Earth observing, Moon to Mars exploration. LEO sats: weather, droughts, floods, crop productivity, detailing water, energy cycles. Scanning L-band Active/Passive instrument...",4,5,1,Mid,test
113024,20 GSPS ADC For Spectrometer Backends In Microwave Radiometers,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","This SBIR Phase II proposal requests support for Alphacore, Inc. to design and characterize a 20GS/s (giga-samples per-second), 6-bit, low-power, and low-cost analog-to-digital converter (ADC) ASIC with backend polyphase filter banks (PFB) based digital processing (DSP) for use in a wide range of NASA's microwave se...",This rad-hard ADC is ideal for CubeSats and small/nano satellites. It supports NASA's remote radiometer microwave sensors for a wide range of Earth observing missions. Examples are potential SMAP follow-on missions an...,3,5,2,Mid,valid
9612,"20mN, Variable Specific Impulse Colloid Thruster",Small Business Innovation Research/Small Business Tech Transfer,TX01.2.2 Electrostatic Propulsion,"Colloid thrusters have long been known for their exceptional thrust efficiency and ability to operate over a range of specific impulse due to easily variable charge-to-mass ratio of emitted particles. They have also been considered limited to only very low thrust levels, able to produce few microNewtons from individ...","The primary non-NASA application for the proposed thruster is to support development of colloid-based multi-mode propulsion using green monopropellants, where there is a lack of suitable thrusters at the milliNewton l...",2,4,2,Mid,train
9310,"20mN, Variable Specific Impulse Colloid Thruster",Small Business Innovation Research/Small Business Tech Transfer,TX01.2.2 Electrostatic Propulsion,"During Phase I, Busek designed and manufactured an electrospray emitter capable of generating 20 mN in a 7"" x 7"" x 1.7"" package. The thruster consists of nine porous-surface emitters operating in parallel from a common propellant supply. Each emitter is capable of supporting over 70,000 electrospray emission sites, ...","Primary NASA applications include missions requiring exceptional thrust/power in power-limited missions, and missions benefiting from variable specific impulse (200-2000+seconds) and variable thrust (10x throttling). ...",3,6,3,Mid,train
17951,20 W High Efficiency 1550 nm Pulsed Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX05.1.3 Lasers,"High peak power short pulsed lasers have been considered to be an enabling technology to build high power transmitters for future deep space high rate space communications. However, to achieve a high peak power at a high repetition rate over 100 MHz and with a short pulse width and >25% wall plug efficiency still re...","In addition to NASA's deep space communications, the proposed short pulse high power fiber laser approach can also be used in other applications, such as space, aircraft, and satellite applications of LADAR systems an...",3,5,2,Mid,train
33179,20 W High Efficiency 1550 nm Pulsed Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX05.1.3 Lasers,"High efficiency pulsed lasers have been considered to be an enabling technology to build high power transmitters for future deep space high rate space communications. However, to achieve a high peak power at a high repetition rate and with a short pulse width and >25% wall plug efficiency still remains an issue unso...","In addition to NASA's deep space communications, the proposed short pulse high power fiber laser approach can also be used in other applications, such as space, aircraft, and satellite applications of LADAR systems an...",4,6,2,Mid,train
102435,25X Fresnel Lens Photovoltaic Concentrator for Deep Space Missions,Small Business Innovation Research/Small Business Tech Transfer,TX03.1.1 Photovoltaic Electrical Power,"Identification and Significance of CCRPP Program: Under Phase II, we are developing a new photovoltaic concentrator array technology with unprecedented performance metrics. We have already developed a new 4X line-focus Fresnel lens, a new 35% efficient 4-junction photovoltaic cell, a new graphene sheet radiator to d...",nan,3,4,1,Mid,train
93310,25x Space Fresnel Lens Concentrator Using 4(+) Junction IMM Solar Cells and Nyctinastic Graphene Radiators to Mitigate LILT Effects for Outer Planet Missions,Small Business Innovation Research/Small Business Tech Transfer,TX03.1.1 Photovoltaic Electrical Power,"The innovation is a unique solar array for powering NASA's deep space missions without the low-intensity, low-temperature (LILT) problems of conventional arrays. The new array uses a robust, ultra-light, color-mixing Fresnel lens to point-focus sunlight at a 25X concentration ratio onto the most advanced 4-junction ...","The new array will apply to a wide range of NASA missions, most of which use solar power. The new array's superior attributes include LILT-mitigation, scalability to high power, radiation hardness at low mass penalty,...",2,3,1,Low,train
93988,2D Materials for Energy Harvesting and Sensing,Space Technology Research Grants,"TX12.1.6 Materials for Electrical Power Generation, Energy Storage, Power Distribution, and Electrical Machines","This project proposes collaboration between the Massachusetts Institute of Technology and NASA to design and fabricate a self-powered sensor using two dimensional (2D) materials including Tungsten Diselenide (WSe2), Molybdenum Disulfide (MoS2), and graphene. In particular it will focus on the optimization of a 2D ma...","Self-powered sensing systems can be incorporated into embedded systems that monitor the structural integrity of spacecraft, sample the chemistry of a foreign environment, or keep track of an astronaut's health through...",2,3,1,Low,valid
18637,µ2 Lab: Microfluidic Microbiology Lab,Center Innovation Fund: JSC CIF,,"Microbial monitoring during spaceflight is crucial to maintain crew health and ensure water purifications systems are functioning properly. Current protocols for in-flight enumeration of bacteria in potable water systems require culture based-methods. In this project, we aim to develop a flight- and microgravity-com...","If successful, the microflow cytometer could replace the current cell-culturing based methods for in-flight enumeration of viable bacteria in the potable water supply aboard ISS and spaceflight beyond LEO. In addition...",3,4,1,Mid,valid
117494,"2-µm high-power, high repetition rate pulsed fiber laser for lidar Martian atmospheric CO2 and pressure profiling",Planetary Instrument Concepts for the Advancement of Solar System Observations,TX08.1 Remote Sensing Instruments and Sensors,"Our diverse team of engineers and atmospheric physicists proposes to develop a 2-µm high-power, high-repetition rate fiber laser transmitter. This laser is the key component of the novel pulsed Differential Absorption Lidar (DIAL) for Martian atmospheric CO2 and pressure profiling. Martian atmosphere consists domina...",Enabling lower cost innovative remote sensing instrument development from concept through breadboard and demonstration,2,4,2,Mid,train
93311,2 Micron Wavelength Coherent Universal LIDAR With Adjustable Resolution and Sensitivity,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Discovery Semiconductors and Lockheed Martin Advanced Technology Laboratories have teamed together to design a Universal LIDAR system that will work for NASA's diverse range of applications. We propose a fiber-based, self-heterodyne LIDAR, at 2050 nm wavelength, whose transmitted optical signal is modulated by a 10 ...","(1)Global 3D profiling of wind velocity with improved sensitivity in clear air, (2)Cloud mapping, formation, frequency, and altitude data for climate model, (3)Navigational Lidars for planetary missions, (4)Rocket eng...",2,3,1,Low,train
23353,2nd Generation QUAd-core siTARA Flight Computer,Center Innovation Fund: MSFC CIF,,"The primary objective of this activity is to develop, design, and test (DD&T) the QUAD-core siTARA (QUATARA) computer to distribute computationally intensive processes such as: communication, sensors, attitude determination, attitude control, cameras, robotic manipulators, and science payloads. An example of the cur...","Developing the fault tolerant capability of the 2nd Generation QUATARA enables new missions such as Sample Return, Debris Removal, Satellite Inspection, Peer to Peer Refueling, and Formation Flying which are not curre...",5,6,1,Mid,train
