event_id,project_id,project_title,program,primary_tx,description_excerpt,benefits_excerpt,start_trl_reference_only,end_trl_label_source,target_label,alg1_full_fusion_pred,alg1_full_fusion_confidence,alg2_no_start_pseudo_start_pred,alg2_no_start_pseudo_start_confidence,alg3_rubric_explainable_pred,alg3_rubric_explainable_confidence,alg4_gridsearched_svc_retrieval_pred,alg4_gridsearched_svc_retrieval_confidence,source,deployment_safe_best_by_accuracy,deployment_safe_best_by_macro_f1,upper_bound_with_start_trl
RAW-TEST-0011,102781,Innovative Hydrogen Peroxide Turbopump Design for Affordable Small Launch Vehicles.,Small Business Innovation Research/Small Business Tech Transfer,TX01.1.2 Earth Storable Propellants,The concept proposed is that of an innovative turbopump for a staged combustion bi-propellant rocket engine using monopropellant to drive the turbine. The turbopump has a unique feature in that it has an electric generator used to generate electricity and p...,A rocket engine using a Turbo-Electric Turbopump would be of significant interest to NASA since it is essentially a staged combustion cycle engine with a lot less headache. It u...,5,8,High,Mid,0.5634,Mid,0.5138,Low,0.6298,Mid,0.7034,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0012,102877,Metal Matrix Composite Enchanced Aluminum Structures,Small Business Innovation Research/Small Business Tech Transfer,TX12.4.1 Manufacturing Processes,The main focus of this Phase II Extended (Phase II-E) proposal is to evaluate the performance benefits of selective reinforcement in novel subsonic aircraft fuselage structure. This Phase II-E proposal directly supports the goal of NASA's Advanced Air Trans...,The proposed effort has broad applications across many NASA missions. Stiffened structures exist in launch vehicles and in advanced aircraft. Aircraft concepts that include ligh...,6,7,High,Mid,0.5635,Mid,0.503,Mid,0.6436,Mid,0.6293,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0013,102947,"Novel Aeroservoelastic Scaled Model Design, Fabrication, and Testing",Small Business Innovation Research/Small Business Tech Transfer,TX15.1.3 Aeroelasticity,"In Phase I we demonstrated the feasibility of a novel aeroservoelastic design approach for scaled model design, and demonstrated fabrication of the resulting designs as a ground test article. The test article from Phase I successfully replicated the scaled ...",This technology is directly applicable to virtually all NASA air vehicles. The resulting scaling and model design and simulation capabilities will contribute to model design and...,6,7,High,High,0.5959,High,0.5596,High,0.6423,Mid,0.652,raw_excel_test_split,Mid,High,High
RAW-TEST-0014,102968,Performance Based Autonomous Precision Approach and Landing System,Small Business Innovation Research/Small Business Tech Transfer,TX01.3.1 Integrated Systems and Ancillary Technologies,"Novel aircraft concepts enable a future Air Transportation System (ATS) with reduced emissions, reduced noise, improved mobility, and radically new modes of transportation, such as urban air taxis, autonomous deliveries of goods, and improved weather and gr...",Testbed supporting development and validation of future ATS technologies in a relevant flight environment. Enables NASA researchers to gather critical flight data on improving i...,5,8,High,Mid,0.5609,Mid,0.4902,Mid,0.5587,Mid,0.6792,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0015,103017,Reliable and Real Time Linux for HPSC,Small Business Innovation Research/Small Business Tech Transfer,TX04.2.5 Robot Navigation and Path Planning,"From a hardware perspective, NASA's currently deployed state-of-the-art (SOA) in space computing may be inadequate for future missions. NASA's intention is that the new SOA for in space processing will be HPSC Chiplet based. However, in order to provide adv...","Antara's robust, fault-tolerant and reliable RT Linux is a cross-cutting capability that will enhance the HPSC Ecosystem, enable parallel processing and support multiple major p...",4,7,High,Mid,0.5464,Mid,0.5004,Mid,0.8287,Mid,0.7694,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0016,103029,Robust System Health Management for Deep Space Missions,Small Business Innovation Research/Small Business Tech Transfer,,One of NASA's key challenges in moving its human spaceflight activities from low Earth orbit to the Moon and beyond is the need for increased autonomy and diagnostic capabilities to address system failures. The far greater distance impacts many aspects of t...,"The proposed capabilities will be of high value to HEOMD NASA missions, where a well-designed and robust FM system is a necessity in order to minimize risks associated with crit...",6,8,High,High,0.5089,Mid,0.5459,Mid,0.8711,Mid,0.7655,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0017,103038,Scalable Neural Net and Neuromorphic Module for In-Space Autonomous Orientation and Maneuvering,Small Business Innovation Research/Small Business Tech Transfer,TX10.2.2 Activity and Resource Planning and Scheduling,"Tensor, along with several commercial partners, is developing new technology suitable for small satellites (SmallSat/CubeSat) and small launch vehicles. As part of this development, we are designing autonomy and artificial cognition capabilities for small s...","The possibilities and applications are practically limitless across a spectrum of mission types. Short list of the possibilities: Predictive and adaptive communications, radio, ...",5,7,High,High,0.5204,Mid,0.4649,Mid,0.8467,Mid,0.7348,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0018,103069,Soil Moisture Mapping sUAS,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves",The focus of this CCRPP proposal is on commercializing two key technologies of the Soil Moisture Mapping small Unmanned Aircraft System (SMM sUAS) SBIR project; (1) the L-band radiometer and (2) the SuperSwift sUAS. These two technologies represent the bulk...,nan,6,9,High,High,0.6783,High,0.6744,High,0.8078,Mid,0.4947,raw_excel_test_split,Mid,High,High
RAW-TEST-0019,10346,Innovative Solid State Lighting Replacements for Industrial and Test Facility Locations,Small Business Innovation Research/Small Business Tech Transfer,TX06.1.4 Habitation Systems,The proposed effort will develop a solid-state LED replacement lamp for rocket engine test stand lighting and more general hazardous-location lighting. The LED lighting will produce a smoother lighting spectrum compared to the existing arc lamp sources whic...,The number of non-NASA applications is vast. A high-intensity solid-state hazardous-location lighting fixture will have direct application in the following areas: petroleum refi...,6,8,High,High,0.5202,Mid,0.5412,Mid,0.9471,Mid,0.7409,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0020,10556,IPAD Paperless Work Control for Test Complex Facilities Management Project,Center Innovation Fund: SSC CIF,TX13.1.5 Ground and Surface Logistics,The purpose of this project was to identify a way to improve the work control processes used at Stennis Space Center that are traditionally done via paper by creating a paperless system that can be used on a mobile device such as a smart phone or tablet. Th...,Benefits to NASA funded missions include providing a means to increase productivity and efficiency that would reduce the man hours required to complete the test preparation proc...,4,7,High,High,0.5563,Mid,0.4194,Mid,0.6764,Mid,0.5976,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0021,105669,Space Infrastructure Dexterous Robot,Technology Demonstration Missions,TX04.3.1 Dexterous Manipulation,"In-space assembly demonstration using a lightweight robotic arm, called SPIDER (Space Infrastructure Dexterous Robot) that will be integrated into NASA's Restore-L.",Technologies developed through SPIDER \ will enable spacecraft components to be robotically assembled and reconfigured while on orbit. The demonstration will mature space techno...,4,7,High,Mid,0.7582,Mid,0.547,Mid,0.8281,Mid,0.7381,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0022,105691,Maturation of Optical Navigation Tools Using Mission Data,Center Independent Research & Development: GSFC IRAD,TX17.2.1 Onboard Navigation Algorithms,This IRAD proposes to mature GSFC's current capabilities in both ground-based and autonomous optical navigation (OpNav) and Terrain Relative Navigation (TRN) using a collaboration with Johns Hopkins University Applied Physics Lab (APL). Sensor data from APL...,"This IRAD will improve existing GSFC capabilities for ground-based OpNav and TRN, and serve as a precursor to autonomous navigation, both of which are needed to enable future NA...",6,7,High,High,0.5248,Mid,0.5173,Mid,0.7047,Mid,0.7254,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0023,10581,RadWorks Project,Mars Campaign Office,TX06.5.5 Monitoring Technology,"The overarching objective of the RadWorks project is to mature and demonstrate affordable, enabling solutions that mitigate radiation-related challenges of human exploration beyond Earth's orbit. RadWorks technology is categorized as both a hardware system ...","The technologies can protect crew health through compact, low mass, low power radiation monitoring/alerting for both nominal radiation environments and SPEs, as well as providin...",3,9,High,High,0.7576,High,0.6752,High,0.5392,High,0.5481,raw_excel_test_split,High,High,High
RAW-TEST-0024,10619,"Merging Geospatial Data into a User-Friendly Application to Support Sustainable Development, Year 1",Center Innovation Fund: SSC CIF,,"For this project, an economic development tool called the Local Economic Analysis Portfolio (LEAP) tool was produced. LEAP is a Geographic Information System (GIS) system which allows users to create earth-based mapping systems that describe the environment...",Benefits to NASA funded missions include the fact that NASA is working to reduce the overall footprint while maximizing space utilization to save on annual operating costs. Econ...,4,7,High,High,0.7355,High,0.4626,High,0.5663,Low,0.3665,raw_excel_test_split,Low,High,High
RAW-TEST-0025,106601,Assessment of Forward Sensing Turbulence Detection Strategies for Stratospheric Flight,Flight Opportunities,TX09.4.4 Atmosphere Characterization,Designed to advance flight of suborbital and low-Earth orbit vehicles—as well as aviation in general—this effort will test new methods for forward-sensing turbulence detection. Researchers will examine the potential for sensing long-range gust and turbulenc...,"Using lightweight, compact, low-cost instrumentation, this technology intends to provide time series–based forecasting of turbulence to anticipate increasing intensities. It is ...",4,7,High,Mid,0.7815,Mid,0.7027,Mid,0.9958,Mid,0.8935,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0026,106657,Electrophysiology Recording of Neuronal Networks During Suborbital Spaceflight,Flight Opportunities,TX06.3.6 Long-Duration Health,"The Electrophysiology Recording of Neuronal Networks During Suborbital Spaceflight demonstration will assess the ability of an electrophysiological measurement system to monitor live neuronal networks in space. During a Blue Origin suborbital rocket flight,...",This electrophysiological measurement platform offers a more detailed and robust assessment of human cells in space than current systems. It has the potential for infusion aboar...,5,7,High,High,0.6133,High,0.607,High,0.5011,Mid,0.5019,raw_excel_test_split,Mid,High,High
RAW-TEST-0027,106676,IRIS - an Integrated Remote Imaging System - External environment remote sensing from suborbital reusable launch vehi...,Flight Opportunities,TX02.2.8 Advanced Commercial-off-the-Shelf Technologies,"This flight demonstration entails integration, flight testing, and post-flight characterization of accomodating a remote sensing payload system on the Blue Origin New Shepard reusable suborbital launch vehicle. The enhancement consists of the IRIS: Integrat...",Integrated Remote Imaging System (IRIS) will broaden the availability of remote scientific observations by demonstrating COTS hardware within a space environment aboard a sub-or...,6,7,High,High,0.5583,High,0.5334,Mid,0.4984,Mid,0.6771,raw_excel_test_split,Mid,High,High
RAW-TEST-0028,106695,Biological Imaging in Support of Suborbital Science (FLEX),Flight Opportunities,TX06.3.1 Medical Diagnosis and Prognosis,"Building on 20 years of plant research in both suborbital and orbital environments, researchers are working to refine a biological imaging system for exploration science. The goal: to enable autonomous, high-resolution image data collection for a variety of...","This technology is designed to be sufficiently robust and detailed to collect morphometric, gene expression, and biochemical responses through images of any biological specimen ...",6,7,High,High,0.5306,Mid,0.5128,Mid,0.8722,Mid,0.7729,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0029,106821,Pathfinder Technology Demonstrator 3 - TBIRD,Small Spacecraft Technology,TX05.1.3 Lasers,"PTD-3 is the third mission in the Pathfinder Technology Demonstrator mission series. PTD-3 uses a six-unit (6U) CubeSat built by Terran Orbital, to host the TeraByte InfraRed Delivery (TBIRD) system built by the Massachusetts Institute of Technology Lincoln...",PTD-3 demonstrates a new approach for large volume data delivery from a CubeSat-scale spacecraft in low-Earth orbit. The LISA-T payload can deliver 5-10 terabytes per day to a s...,6,7,High,High,0.7132,High,0.738,High,0.7181,High,0.5653,raw_excel_test_split,High,High,High
RAW-TEST-0030,106822,Starling,Small Spacecraft Technology,TX05.3.2 Adaptive Network Topology,"Starling is a Space Technology Mission Directorate (STMD) project under the Small Spacecraft Technology (SST) program and managed at NASA's Ames Research Center by the Spaceflight Division (Code RS). It is an NPR 7120.8 technology demonstration mission, ref...","This project advances the state of the art in ""spacecraft swarm"" technologies. The NASA vision for a spacecraft swarm is that it is a number of simpler and less expensive spacec...",3,7,High,High,0.7377,High,0.7056,High,0.5861,High,0.4666,raw_excel_test_split,High,High,High
RAW-TEST-0031,10720,Controlled Thermal Expansion Alloys,Center Independent Research & Development: GSFC IRAD,TX08.2.1 Mirror Systems,There has always been a need for controlled thermal expansion alloys suitable for mounting optics and detectors in spacecraft applications. These alloys help provide the stability required to capture the stunning images we have come to expect from our obser...,"This work is cross-cutting and has application for minimizing distortion in optics and sensors for Heliophysics, Astrophysics (VNC and NGXO), Earth Observation (AGES) and Gravit...",1,9,High,Low,0.7438,Low,0.5084,Mid,0.8125,Mid,0.5724,raw_excel_test_split,Mid,Low,Low
RAW-TEST-0032,10731,Distributed Visualization,OCIO Program,TX11.3.1 Distributed Simulation,"Distributed Visualization allows anyone, anywhere, to see any simulation, at any time. Development focuses on algorithms, software, data formats, data systems and processes to enable sharing simulation-based information across temporal and spatial boundarie...","Achieving NASA's next era of exploration missions has an unprecedented dependence on successful collaboration between our Centers, commercial entities, academia, international p...",2,9,High,Low,0.4846,High,0.5391,High,0.7639,High,0.3648,raw_excel_test_split,High,High,Low
RAW-TEST-0033,10940,Materials on International Space Station Experiment – X,Technology Demonstration Missions,TX12.1.4 Materials for Extreme Environments,The Materials International Space Station Experiment-X (MISSE-X) Technology Demonstration Mission is a collaborative effort among NASA Centers and the U.S. Department of Defense. MISSE-X is an external ISS platform for small technology payloads that utilize...,"Specific benefits include: • Expand ISS utilization for small technology payloads • Advance TRL of new space materials, devices, and subsystems • Characterize material performan...",5,7,High,High,0.7325,High,0.7177,High,0.6394,Mid,0.4942,raw_excel_test_split,Mid,High,High
RAW-TEST-0034,112878,Three Band Thermal Infrared Detector for CubeSats and UAS,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.1 Detectors and Focal Planes,"The proposed Phase II prototype will deliver high spatial resolution, wide field of view, high signal to noise performance, and three spectral bands. The system includes onboard processing to extract the information of greatest value, orthorectify the image...","The system will be useful for a wide variety of environmental research, disaster response, wildfire science, wildfire detection and mapping, oil spill mapping and detection, and...",2,7,High,Mid,0.4653,High,0.4288,High,0.5991,Mid,0.7054,raw_excel_test_split,Mid,High,Mid
RAW-TEST-0035,112917,Autonomous Environmental Monitoring and Management Platform for Remote Habitats,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.1 Detectors and Focal Planes,"An automated mobile air quality (AQ) sensor array will provide high quality environmental data within the confined physical parameters of a space habitat. Project results, including generated data, will be used to develop algorithms for artificial intellige...","Missions on the moon or Mars will benefit from this lightweight, low power, AI enabled AQ platform to ensure safety in vehicles, airlocks, and portable life support systems. Thi...",3,7,High,Mid,0.6994,Mid,0.4993,Mid,0.6116,Mid,0.7692,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0036,112998,RFI Mitigating (RFIM) Receiver Backend ASIC,Small Business Innovation Research/Small Business Tech Transfer,"TX08.1.4 Microwave, Millimeter Waves, and Submillimeter Waves","According to the solicitation topic S1.03, NASA requires a low power, low mass, low volume, and low data rate RFI mitigating receiver back end that can be incorporated into existing and future radiometer designs. Alphacore proposes to design an application ...","Alphacore's solution can be incorporated into future radiometer designs used for short-term and long-term weather predictions, measuring changes in the atmosphere, ocean and lan...",3,7,High,Mid,0.6357,Low,0.5021,Low,0.5634,Mid,0.6448,raw_excel_test_split,Mid,Low,Mid
RAW-TEST-0037,113089,An Ultrafine Airborne Particle Counter,Small Business Innovation Research/Small Business Tech Transfer,TX06.1.1 Atmosphere Revitalization,"Under NASA SBIR sponsorship, we built a space-qualified airborne particle monitor that is now deployed on the International Space Station (ISS). This instrument is being used to ascertain the levels of particulate air contaminants to which the astronauts ar...",This COTS version of the unit currently deployed on the International Space Station fits smoothly NASA's Particulate Monitoring Roadmap. It should be readily space-qualified for...,6,7,High,High,0.546,High,0.522,High,0.6939,Mid,0.6992,raw_excel_test_split,Mid,High,High
RAW-TEST-0038,113276,Hydrogen-Based Energy Conservation System,Small Business Innovation Research/Small Business Tech Transfer,,Skyre's H2RENEW electrochemical hydrogen separation and compression technology (EHSC) uses a process wherein an electrochemical cell is used to oxidize hydrogen at an electrochemical cell's anode and evolve it at its cathode. The Skyre electrochemical cell ...,Skyre's electrochemical hydrogen compressor is being integrated with an electrolyzer and a cryogenic liquefaction plant to produce propellant-grade oxygen and hydrogen to permit...,4,7,High,Mid,0.5521,High,0.4671,Mid,0.8599,Mid,0.7117,raw_excel_test_split,Mid,High,Mid
RAW-TEST-0039,113336,Low SWaP-C RemoteID Device for UAS,Small Business Innovation Research/Small Business Tech Transfer,TX01.3.1 Integrated Systems and Ancillary Technologies,"The FAA has recently promulgated a rule for RemoteID for UASs, whereby the UAS is required to broadcast information about its ID, location, time stamp, and ground station location. This rule can be viewed as a part of the initiatives such as the AAM, UTM, a...","NASA, along with the FAA is currently planning several methods to integrate UAVs safely into the national airspace. The proposed device will be vital part of the emerging UTM ne...",4,8,High,High,0.7497,High,0.6809,High,0.703,High,0.4652,raw_excel_test_split,High,High,High
RAW-TEST-0040,113424,Packaging and Manufacturing Processes to Enable Production of Very Large Solar Sails for Next Generation Missions,Small Business Innovation Research/Small Business Tech Transfer,"TX12.3.1 Deployables, Docking, and Interfaces","NASA's recently selected Solar Cruiser Technology Demonstration Mission is already benefiting from the innovative research and technology being developed under NeXolve's Phase 2 SBIR. Under this contract, Processes and Mechanisms are being developed to fabr...","Sail Quadrant (SQ) development of NASA's Solar Cruiser (SC) is a near term NASA application. SQ design and analysis will support SQ CDR, system PDR, and system CDR (July 2021, N...",5,7,High,Mid,0.5264,Mid,0.5827,Mid,0.8479,Mid,0.7928,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0041,113440,Plasma Jet Printing Technology for In-Space Manufacturing and In-Situ Resource Utilization,Small Business Innovation Research/Small Business Tech Transfer,"TX07.2.2 In Situ Manufacturing, Maintenance, and Repair",Plasma jet printing is a promising method to address many unique challenges in printed electronics. The plasma jet technique converts an ink solution and a carrier gas into a low temperature atmospheric pressure plasma jet that is subsequently printed to th...,"On demand manufacturing of electronics (ODME) and NASA's Multimaterial fabrication facility ""Fablab"" relies on integrating multiple technologies into one singe additive manufact...",6,7,High,High,0.5628,Mid,0.3941,Mid,0.7674,Mid,0.5966,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0042,113474,Rapidly Tuned Random Access Laser Source,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Semiconductor-based widely tunable lasers are attractive in that they are capable of wavelength switching on short timescales (<10ns); however, in order to switch at those speeds and remain stable, sophisticated control electronics and strategies are requir...","The proposed innovation directly supports multiple NASA interests including lidar, atmospheric gas sensing, and fiber sensing. The proposed innovation directly supports multiple...",6,7,High,Mid,0.5074,Mid,0.6808,Mid,0.8959,Mid,0.8242,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0043,113495,Robust Radiation Hard Low Power DAC,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.2 Electronics,"Adsantec will design and fabricate a Digital-to-Analog Converter (DAC) as a single-package Application Specific Integrated Circuit, (ASIC) capable of surviving and maintaining performance in high radiation environments (> 1 Mrad), including enhanced low dos...","The successful accomplishment of this project resulted in the development of several versions of the DAC ASIC that can support multiple NASA space missions including CLPS, Mars ...",2,7,High,High,0.5373,High,0.547,High,0.7253,Mid,0.6292,raw_excel_test_split,Mid,High,High
RAW-TEST-0044,113516,Spacecraft On-orbit Advanced Refueling and Storage,Small Business Innovation Research/Small Business Tech Transfer,TX01.1.1 Integrated Systems and Ancillary Technologies,"Zero-G Horizons Technologies (ZGHT), in partnership with Embry-Riddle Aeronautical University (ERAU) is developing a Spacecraft On-orbit Advanced Refueling and Storage (SOARS) system. SOARS directly supports the Moon to Mars Campaign (NASA's Space Policy Di...","SOARS will enable the commercialization of on-orbit propellant depots, which will augment current and future NASA launch systems. SOARS will alleviate high costs associated with...",4,7,High,Mid,0.6391,Mid,0.501,Mid,0.8039,Mid,0.7759,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0045,116068,CubIXSS: The CubeSat Imaging X-ray Solar Spectrometer,Heliophysics Flight Opportunities in Research & Technology,TX08 Sensors and Instruments,How the corona is heated to tens of megakelvin (MK) in solar flares and quiescent (non-flaring) active regions is still poorly understood. Elemental abundances are a unique diagnostic of how mass and energy flow into and within the corona. Spectral signatur...,Enabling lower cost innovative remote sensing instrument development from concept through breadboard and demonstration,4,9,High,High,0.7066,High,0.6395,Mid,0.9517,Mid,0.5418,raw_excel_test_split,Mid,High,High
RAW-TEST-0046,116087,Sun Coronal Ejection Tracker,Heliophysics Flight Opportunities in Research & Technology,TX08 Sensors and Instruments,Objectives: The Sun Coronal Ejection Tracker (SunCET) CubeSat fills a crucial gap in the Heliophysics System Observatory (HSO). Coronal Mass Ejections (CMEs) accelerate through the low and middle corona (≤4 solar radii) – corresponding exactly to a longstan...,Enabling lower cost innovative remote sensing instrument development from concept through breadboard and demonstration,6,9,High,High,0.6522,High,0.5631,High,0.6114,Mid,0.5364,raw_excel_test_split,Mid,High,High
RAW-TEST-0047,116266,Space Science & Technology Evaluation Facility - First Flight,Game Changing Development,TX13.3.2 Vehicle and Payload Assembly and Integration,The Space Science and Technology Evaluation Facility (SSTEF) is a general-purpose lunar testbed providing power and data services to individual experiments and payloads for testing at the lunar surface. This testbed is a flexible design to allow for differe...,"SSTEF provides ready, affordable access to lunar science and testing by supporting a variety of experiments and payloads. The idea is a ""plug and play"" platform for experiments,...",7,9,High,High,0.5283,High,0.5003,Mid,0.5458,Mid,0.7106,raw_excel_test_split,Mid,High,High
RAW-TEST-0048,116284,Universal Combustion Device Stability,Game Changing Development,"TX11.3.7 Multiscale, Multiphysics, and Multifidelity Simulation",This project is a collaboration between the Fluid Dynamics Branch (ER42) at NASA Marshall Space Flight Center and Gloyer-Taylor Laboratory (GTL) to evaluate GTL's Universal Combustion Devide Stability (UCDS) and Simulation Data Analysis (SimDAT) for relevan...,"These tools have the potential to enhance NASA missions by providing a cost-effective approach to model, understand, and design for stable propulsion before hardware is manufact...",8,9,High,High,0.5316,Mid,0.4103,Low,0.5935,Mid,0.6489,raw_excel_test_split,Mid,Mid,High
