project_id,project_title,target_label,predicted_label,confidence,rubric_scores,retrieval_distribution,top_evidence_sentences,missing_high_trl_reason,final_reason
9850,"Polymer-Reinforced, Nonbrittle, Lightweight Cryogenic Insulation for Reduced Life-Cycle Costs",Mid,Mid,0.9583430030858525,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.2, 'mid': 0.6, 'high': 0.2}","For assuring success, ISL has committed $100K of co-funding during Phase II, and secured $300K as Phase III Follow-on funding from a commercialization partner. | For assuring success, ISL has committed $100K of co-funding during Phase II, and secured $300K as Phase III Follow-on funding from a commercialization partner.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
33412,3D Imaging Cubesat Lidar for Asteroid and Planetary Sciences,Mid,Mid,0.9658566983206474,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.2, 'commercialization_score': 0.4}","{'low': 0.0, 'mid': 1.0, 'high': 0.0}","commercialization_context ?XThe core lidar technology developed has applications to numerous NASA and DoD instrument needs. | There appears to be an emerging as a commercial services market and several companies are in contact with Fibertek about proximity operations lidars. | Because the lidar uses readily available laser diodes and the diode laser can be digitally controlled unlike a solid state laser the system can be reconfigured to more than one application. | The LIDAR design envisioned by Fibertek allows long range 3D imaging in a small, light weight, simple, robust package to be carried to forward areas by a dismounted soldier or deployed in a small transportable UAV yet powerful enough to map the battlefield from outside the range of enemy fire would be an invaluable tool for the battlefield commander",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
125823,Weather Intelligence Support Environment,Mid,Mid,0.7826408525099374,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","government agencies that play a crucial role in helping to develop and implement the NextGen program by developing advanced automation concepts and technologies that provide NAS stakeholders (air traffic controllers, pilots, and other airspace users) with more accurate real-time information on air traffic flow, weather, and routing. | commercialization_context NASA (Aviation Systems Division) is one of several U.S. | A commercial version of the innovation will serve as an autonomous flight dispatch service for stakeholders in the general aviation (GA) community by monitoring flights and providing enhanced weather decision support similar to flight dispatch services found in airline operational control centers – a service not readily in the GA community.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
158283,Quantification and Modulation of Trust in a Crew Health Integrated Medical Response Agent (CHIMERA),Low,Mid,0.7924869062910296,"{'principle_score': 0.25, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","The free energy principle suggests that all living organisms, including humans, strive to minimize their free energy – a measure of the system's uncertainty or surprise about its sensory inputs given its model of the world. | The free energy principle suggests that all living organisms, including humans, strive to minimize their free energy – a measure of the system's uncertainty or surprise about its sensory inputs given its model of the world. | This minimization is achieved through perception, where the agent updates its internal model to better predict sensory inputs, and action, where the agent acts upon the environment to make its sensory inputs more predictable In this Phase I proposal, we will leverage our work on cyber-physical-human autonomous systems for astronaut health and performance to demonstrate how an active inference framework allows for the quantification and modulation of trust in a critical space flight system called the Crew Health Integrated Medical Response Agent (CHIMERA) commercialization_context -Cyber-physical-human systems for Crew Health and performance -Cyber-physical-human systems for long distance, long duration space exploration missions -CPH for earth based observation UAV swarms-DoD: Cyber-physical-human systems for military health and performance in Prolonged Field Care -Remote, long-term patient monitoring care/telemedicine -CPH for earth based observation and exploration; UAV swarms, remote operations -CPH for humanitarian disaster response",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
16772,Incremental Evolution of a 10/250 NLV into a 20/450 NMSLV,High,Mid,0.6620785975895426,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.25, 'operational_environment_score': 0.2, 'commercialization_score': 0.6}","{'low': 0.0, 'mid': 0.8, 'high': 0.2}","The technical innovation proposed here is the continued functional evolution and concept refinement of an incremental series of test vehicles that will ultimately provide dedicated, low-cost, reliable, on-demand routine space access for the emerging nano and micro satellite markets. | Initial orbital operational capability for delivering 10 kg to a 250 km circular LEO is achieved with a two-stage, pressure-fed ""10/250"" Nanosat Launch Vehicle (NLV) that will pathfind performance, production, regulatory and operational challenges. | The technical innovation proposed here is the continued functional evolution and concept refinement of an incremental series of test vehicles that will ultimately provide dedicated, low-cost, reliable, on-demand routine space access for the emerging nano and micro satellite markets. | The technical innovation proposed here is the continued functional evolution and concept refinement of an incremental series of test vehicles that will ultimately provide dedicated, low-cost, reliable, on-demand routine space access for the emerging nano and micro satellite markets. | The Phase II effort will then focus on the further development of an NMSLV-type first stage with two additional core boosters, for a total of three, and the conducting of a high-altitude demonstration flight.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
154498,Coordinated Autonomous Debris Avoidance,Mid,Low,0.7137795746255652,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.2, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","We will prove the feasibility of the prototype in Phase I by testing it against an existing SmallSat simulation. | We will prove the feasibility of the prototype in Phase I by testing it against an existing SmallSat simulation. | In Phase I, we will adapt SCOUT and integrate it with the collision computation and trajectory optimization components to develop an initial prototype system. | We will prove the feasibility of the prototype in Phase I by testing it against an existing SmallSat simulation. | Non-NASA commercial applications for CADANCE include satellites that provide services like the Starlink internet constellation and science satellites like Planet Labs' fleet of 200 Earth-imaging satellites.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
125728,"Radiation Hardened High Power ""GBID"" Ga2O3 Based Isolated DC-DC Converter",Mid,Mid,0.7645505669973658,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.4, 'mid': 0.6, 'high': 0.0}","One challenge that arises when designing for space environment is the harsh environment power converters need to operate in, and limited availability of space qualified components and field demonstrated converter topologies. | One challenge that arises when designing for space environment is the harsh environment power converters need to operate in, and limited availability of space qualified components and field demonstrated converter topologies. | The state of the art for space DC-DC power conversion trails its commercial counterparts in terms of power density and efficiency. | The state of the art for space DC-DC power conversion trails its commercial counterparts in terms of power density and efficiency.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
102444,A Compact and Automated Library Preparation Device for Nanopore Sequencing,Mid,Mid,0.573356430521758,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.4, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","This compact system will allow previously complicated, labor-intensive, and time-consuming processes to be carried out by a turn-key and closed system with minimal crew-time needed. | We have demonstrated on the ground in a laboratory setting that our simple but robust sequential injection delivery tool can perform precise fluid delivery and DNA extraction. | commercialization_context We propose a platform for safe and automated library preparation in space. | The demands for improved healthcare in developing countries will also aid the growth of nucleic sequencing and nucleic acid testing market.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
101947,High-Resolution Source Characterization and Modeling for Efficient Prediction of Propulsion-Airframe Aeroacoustics,Low,Mid,0.8857116728775148,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.0, 'mid': 1.0, 'high': 0.0}","ATA Engineering, in collaboration with the University of California, Irvine, proposes to develop methods to efficiently characterize and ultimately predict aircraft noise associated with such propulsion airframe aeroacoustics (PAA). | ATA Engineering, in collaboration with the University of California, Irvine, proposes to develop methods to efficiently characterize and ultimately predict aircraft noise associated with such propulsion airframe aeroacoustics (PAA). | commercialization_context The technology enables BEM prediction of far-field acoustics using surface-based sources, enhancing capabilities in two ARMD Strategic Thrusts: Innovations in Commercial Supersonic Aircraft (#2), where a critical theme is ""jet and high speed fan/inlet acoustics with airframe interactions,"" and Ultra Efficient Commercial Vehicles (#3), where ""propulsion noise shielding"" is needed for ""revolutionary"" vehicles. | Several commercial and defense applications will benefit from improved PAA prediction.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
106670,Propellant Mass Gauging in Gateway Architecture Vehicles,Mid,Mid,0.8209002480895616,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.2, 'commercialization_score': 0.2}","{'low': 0.0, 'mid': 0.6, 'high': 0.4}","Problem Statement NASA's Space Launch System (SLS) rocket and Orion spacecraft as well as commercial partners have a need for a low-gravity propellant mass gauging concept that provides robust mass measurements during dynamic events that involve changes in tank pressure, such as engine burns. | Problem Statement NASA's Space Launch System (SLS) rocket and Orion spacecraft as well as commercial partners have a need for a low-gravity propellant mass gauging concept that provides robust mass measurements during dynamic events that involve changes in tank pressure, such as engine burns. | This work is a continuation of previous flight testing under T0123, T0147, T0160, and T0191. | This work is a continuation of previous flight testing under T0123, T0147, T0160, and T0191. | Problem Statement NASA's Space Launch System (SLS) rocket and Orion spacecraft as well as commercial partners have a need for a low-gravity propellant mass gauging concept that provides robust mass measurements during dynamic events that involve changes in tank pressure, such as engine burns.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
94565,Dynamically Leveraged Automated N-Multibody (DyLAN) Trajectory Optimization,Mid,Mid,0.8929867045658806,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.25, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.0, 'mid': 1.0, 'high': 0.0}","DyLAN will meet NASA's Technology Roadmap goals of advanced modeling and simulation tools that allow for expanded solution spaces enabling new design concepts while decreasing cost with higher fidelity, efficient simulations. | DyLAN's early demonstration proves that commercial entities (e.g. | NASA and commercial entities are in need of advanced methods that allow for rapid analysis of complex trajectory optimization problems, so that the most informed decisions with regard to mission design can be made at an early stage in the planning process. | NASA and commercial entities are in need of advanced methods that allow for rapid analysis of complex trajectory optimization problems, so that the most informed decisions with regard to mission design can be made at an early stage in the planning process.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
113183,Dust Tolerant Joint for In-Space Assembly,Mid,Mid,0.9568198088136232,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","Additionally, CRG's dust tolerant reversible joint provides NASA with a scalable, modular joining capability that can be used with autonomous assembly systems. | Additionally, CRG's dust tolerant reversible joint provides NASA with a scalable, modular joining capability that can be used with autonomous assembly systems. | commercialization_context In-Space structural assembly and construction Moon to Mars Campaign Commercial Lunar Payload Services (CLPS) Rotary, linear, and static joints Manned and unmanned space vehicles Payload attachment and removal Satellites, solar arrays, and deployable structures DoD and commercial satellite construction, expansion, refurbishment and In-Space test ranges (i.e.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
125631,Magnetic Dust Filtration System,Mid,Mid,0.87844621020463,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","In the proposed program, a full-scale working model of the MDFS will be built and tested at Pioneer Astronautics lab. | In the proposed program, a full-scale working model of the MDFS will be built and tested at Pioneer Astronautics lab. | commercialization_context The MFS system is one of the key technologies for establishing human presence on the Moon for the Artemis program. | This technology will can be a resource for future dusty planetary destinations in space exploration With the advance of commercial spaceflight this technology will be applicable for all manned missions to dusty planetary destinations.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
112917,Autonomous Environmental Monitoring and Management Platform for Remote Habitats,High,Mid,0.6116424004611531,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.4, 'prototype_score': 0.25, 'relevant_environment_score': 0.25, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","Initially, SPEC Sensors will demonstrate a platform for AQ monitoring in a form factor compatible with autonomous robots such as the Astrobee, currently in use aboard the ISS National Laboratory. | In this phase, ground-based laboratory evaluations will be performed with a mobile prototype to address flight certification requirements necessary for integration with the current Astrobee fleet, and for safe delivery to the ISS National Lab by Magnitude.io. | In this phase, ground-based laboratory evaluations will be performed with a mobile prototype to address flight certification requirements necessary for integration with the current Astrobee fleet, and for safe delivery to the ISS National Lab by Magnitude.io. | In this phase, ground-based laboratory evaluations will be performed with a mobile prototype to address flight certification requirements necessary for integration with the current Astrobee fleet, and for safe delivery to the ISS National Lab by Magnitude.io. | With the successful demonstration of this technology, we expect other needs will arise that can be solved with this AI enabled array.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
15886,Using the Hottest Particles in the Universe to Probe Icy Solar System Worlds,Low,Low,0.8399574912079497,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.4, 'mid': 0.6, 'high': 0.0}","In addition, we will improve the fidelity of our initial simulation used to analyze the concept in several important areas in order to more precisely determine the final measurement capabilities of the instrument. | In addition, we will improve the fidelity of our initial simulation used to analyze the concept in several important areas in order to more precisely determine the final measurement capabilities of the instrument. | commercialization_context We have conducted an initial exploration of a concept for a novel and innovative low cost, low power, low mass passive instrument to measure ice depth on outer planet moons, such as Europa, Ganymede, Callisto, and Enceladus.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
93556,Injector-Integrated Fuel-Air Heat Exchanger Module,Mid,Low,0.7938036310385305,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.2, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","commercialization_context A reduction in the temperature of available cooling air would provide additional heat sink, thereby enabling use of higher combustion temperatures. | The designs proposed are inherently compatible with Micro Cooling Concepts' existing production line, enabling arrangements such as building the components under contract or licensing the IP to the engine manufacturer and/or their suppliers. | As engine compressor pressure ratios continue to increase, the temperature of this compressor discharge air also increases, to the point that the cooling air itself needs to be cooled.?Micro Cooling Concepts is involved in developing a concept for a heat exchanger co-located/integrated near the point of fuel injection in order to provide cooled cooling air. | The main advantages of this concept are the minimization of the amount of heated fuel between the heat exchanger and fuel injector tip such that the fire danger from leaking tubing is eliminated, and the ease of delivering cooled cooling air to the secondary air circuit. | The end goal of the program will be to develop a prototype fuel-air heat exchanger and test its performance at engine relevant conditions.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
105714,Verification of Molecular Contamination Transport Model,Mid,Low,0.8680417576925159,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.4, 'mid': 0.4, 'high': 0.2}","Results will impact power requirements, ConOps, and contamination requirements of mission concepts being proposed in the future. | commercialization_context The payoff to NASA is advancements in contamination engineering powered by high-fidelity molecular contamination transport model results and significant risk mitigation to science investigations that are super sensitive to molecular contamination.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
101881,Impact Resistant Composite Structures for Space Suit Applications,Mid,Mid,0.963270600392188,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","commercialization_context Increasing damage tolerance of lightweight composite structures to impact loads while maintaining leak resistance under pressure is a key performance metric for space suit hard composite components. | The proposed full-component Hatch demonstrator will address all these challenges and serve as an technology maturation example for all these markets. | Composites Automation (CA) proposes to collaborate with the University of Delaware Center for Composite Materials (UD-CCM) and our industry transition partner ILC Dover, to develop innovative material and structure concepts for next generation Space Suit hard composite components. | Composites Automation (CA) proposes to collaborate with the University of Delaware Center for Composite Materials (UD-CCM) and our industry transition partner ILC Dover, to develop innovative material and structure concepts for next generation Space Suit hard composite components. | Composites Automation (CA) proposes to collaborate with the University of Delaware Center for Composite Materials (UD-CCM) and our industry transition partner ILC Dover, to develop innovative material and structure concepts for next generation Space Suit hard composite components.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
93320,A 10 K Multistage Cryocooler with Very Low Vibration,Mid,Mid,0.7886243055186918,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.25, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","commercialization_context The successful completion of this program will result in the demonstration of an extremely efficient low temperature cryocooler with negligible vibration. | A secondary military market for the technology is for cooling hyperspectral imaging systems on space based observation, surveillance and missile defense systems. | During the proposed Phase II project, we plan to optimize key cryocooler components for operation in a 10 K cryocooler, and demonstrate the performance of the advanced technology through demonstrations at cold load temperatures of 10 K and below. | During the proposed Phase II project, we plan to optimize key cryocooler components for operation in a 10 K cryocooler, and demonstrate the performance of the advanced technology through demonstrations at cold load temperatures of 10 K and below.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
